"name" "count" "winrate" "average"
"Team Hala" 20 0.4 44.5783333333333
"B)ears" 33 0.641379310344828 43.2338333333333
"Vega Squadron" 71 0.517341040462428 42.4313333333333
"Team AD FINEM" 26 0.423076923076923 42.1326666666667
"the wings gaming" 17 0.529411764705882 41.902
"Ninjas in Pyjamas" 34 0.353333333333333 41.105
"Alliance" 86 0.546511627906977 41.0241666666667
"4 protect five" 32 0.576388888888889 40.603
"OG Dota2" 37 0.664670658682635 40.3708333333333
"  " 20 0.523809523809524 39.6968333333333
"Elements Pro Gaming" 28 0.424460431654676 39.5646666666667
"Comanche" 29 0.432 39.529
"LQ" 15 0.2 39.3711666666667
"LGD-GAMING" 42 0.570652173913043 39.3363333333333
"Team Secret" 55 0.66044776119403 39.028
"LGD.Forever Young" 56 0.52112676056338 39.0166666666667
"Team VGJ" 47 0.730569948186529 38.6458333333333
"Digital Chaos" 54 0.608695652173913 38.6425
"Horde" 76 0.466275659824047 38.6283333333333
"Natus Vincere" 62 0.483739837398374 38.4848333333333
"See You Again" 27 0.35 38.2441666666667
"Friends" 110 0.447761194029851 38.1518333333333
"CDEC Gaming" 49 0.539419087136929 38.0998333333333
"Team EVOS" 54 0.568527918781726 38.0283333333333
"Clutch Gamers" 75 0.626666666666667 37.9838333333333
"TNC Pro Team" 79 0.658227848101266 37.9
"Elite Wolves" 19 0.416666666666667 37.831
"Faceless" 66 0.803030303030303 37.4736666666667
"Cloud 9" 101 0.550935550935551 37.4283333333333
"Happy Feet" 34 0.607594936708861 37.413
"Execration" 54 0.350393700787402 37.2971666666667
"Team. Spirit" 47 0.539267015706806 37.1723333333333
"Invictus Gaming" 52 0.749034749034749 37.1231666666667
"Prodota GaminG" 56 0.361581920903955 37.1093333333333
"Evil Geniuses" 16 0.75 37.0188333333333
"Team NP" 50 0.717948717948718 36.9485
"CAVALRY" 20 0.35 36.9208333333333
"SG e-sports" 54 0.609022556390977 36.8841666666667
"Team Liquid" 45 0.778301886792453 36.8795
"Team Bazaar" 80 0.613157894736842 36.8135
"Fnatic" 17 0.176470588235294 36.553
"Team Empire" 60 0.57243816254417 36.4558333333333
"Effect" 70 0.62536023054755 36.443
"GUS-GAMING.COM" 28 0.428571428571429 36.2581666666667
"NoLogic Gaming" 19 0.526315789473684 36.25
"Double Dimension" 20 0.35 36.1666666666667
"Sanguine Sharks" 41 0.433628318584071 36.0961666666667
"Vici Gaming Potential" 57 0.394285714285714 35.9955
"Team Freedom Dota 2" 65 0.476489028213166 35.9306666666667
"Wheel Whreck While Whistling" 59 0.404255319148936 35.9055
"FireDota" 17 0.470588235294118 35.8618333333333
"Signature.Dota2" 10 0.2 35.7883333333333
"TEAM MAX" 50 0.459459459459459 35.588
"compLexity Gaming" 67 0.59409594095941 35.5593333333333
"Team Red" 23 0.452830188679245 35.5228333333333
"Not Today !" 99 0.666666666666667 35.4236666666667
"Prestige World Wide" 29 0.152380952380952 35.4093333333333
"Team FDL" 39 0.419354838709677 35.3585
"Kaipi" 55 0.505154639175258 35.3285
"team_ftd_a" 15 0.466666666666667 35.2988333333333
"Hive" 17 0.235294117647059 35.2548333333333
"WanteD" 21 0.333333333333333 35.2411666666667
"iG.Vitality" 69 0.623188405797101 35.2226666666667
"Newbee" 28 0.653846153846154 34.8388333333333
"Rex Regum QEON" 53 0.411764705882353 34.6215
"Geek Fam" 71 0.575221238938053 34.592
"Virtus.pro" 33 0.74 34.4928333333333
"Trust" 29 0.235955056179775 34.1611666666667
"Mineski.GGNetwork" 73 0.604972375690608 34.0715
"" 117 0.550675675675676 33.8781666666667
"Team Onyx" 50 0.580786026200873 33.5655
"Infamous —\_(<U+30C4>)_/—" 93 0.57563025210084 33.358
"Vici Gaming" 72 0.62396694214876 33.1938333333333
"EverNovaS" 17 0.411764705882353 32.5343333333333
"EHOME" 49 0.233918128654971 31.9146666666667
"EHOME.KEEN" 24 0.538461538461538 31.8475
"Team Braveheart" 12 0.157894736842105 31.4376666666667
"MVP Phoenix" 12 0.166666666666667 31.1013333333333
"MVP HOT6" 12 0.166666666666667 31.1013333333333
"RUSH B" 19 0.409090909090909 30.9681666666667
"Mad Kings" 24 0.524590163934426 30.6071666666667
"Sacola de lixo" 12 0.0833333333333333 28.9346666666667
"PENTA Sports" 12 0.461538461538462 27.7423333333333
"ThePrime.NND" 15 0.822222222222222 25.9493333333333
