"","team_id","name","tag"
"1082",22906,"WOND5.","W5"
"1083",3016098,"Agg tmr 1","AT1"
"1084",2293253,"Sejarah 10","SJ1"
"1085",2925930,"Got5?","G5?"
"1086",2918615,"For Fun","FF"
"1087",3730002,"Infamous.NA","Infamous"
"1088",2783913,"Escape Gaming","ESC"
"1089",3154882,"do you even DOTA","Dudez"
"1090",1576946,"AloneAloneAlone","Alone"
"1091",3730438,"King  Capo","KC"
"1092",1171026,"Electra Cyber Sport","Electra"
"1093",1314487,"Click N Search","CNS"
"1094",2568168,"Black Demons VIP","Demon's"
"1095",3756449,"efobel","efobel"
"1096",2919890,"KK Gamers","KK "
"1097",3480835,"Dream Team",""
"1098",1366506,"Black Sheep!","bs"
"1099",1705097,"Argentinian Rejects","AR"
"1100",3327688,"Team Hala","Hala"
"1101",16,"MSI-evoGT The-net.com","MSIevoGT"
"1102",1703210,"New Equality","[New]"
"1103",2247356,"DarkLightning","DL"
"1104",2395976,"Made in NIS","MIN"
"1105",2440854,"INDEFATIGABLEZz ESPORTS","]I["
"1106",293390,"Radical Online X-tremists","RoX.KIS"
"1107",1276785,"The Mongolz","Mongolz"
"1108",1457502,"Talent.cn","Talent"
"1109",1829282,"Denial Esports|","Denial"
"1110",2267727,"Glory Of Sperm","GOS"
"1111",32150,"Gseven","Gse7en"
"1112",2685608,"ToPower Gaming","TP"
"1113",2662515,"Xenom Saga","XS"
"1114",1026613,"Petukh Team","PETUKH"
"1115",2642461,"Sport Gaming LCA","LCA"
"1116",2930561,"AVIUS","AVIUS"
"1117",2047484,"HardCore","Hc"
"1118",3749940,"Los emos y la conchasumare","Lec"
"1119",3327180,"Never Thought","NT"
"1120",558159,"Annie","Annie"
"1121",713699,"Celestial Onslaught","CEON"
"1122",3763625,"Double Dimension","DD"
"1123",658382,"WhiteFlagBear","WFB"
"1124",3333361,"the wild witch doctors","wwd"
"1125",2845124,"Sundaysss","Sunday"
"1126",2231078,"Crucial Team","Crucial"
"1127",726228,"Vici Gaming","VG"
"1128",2828325,"myRisk e. V.","myRisk"
"1129",1869450,"For-Soul","F.Soul"
"1130",482175,"Super Papagaj","PAPAGAJ"
"1131",1937628,"Boreal eSports","Boreal"
"1132",2883718,"DreamScape","DreamScape"
"1133",1308992,"Obscured By Clouds","OBS"
"1134",1648005,"Inter Active Philippines","IAP"
"1135",1730443,"BABE SQUAD","BS"
"1136",2636350,"Team Victoire","Vic"
"1137",3095098,"God of war","GoW"
"1138",2787566,"Axis Reborn","AR"
"1139",1898879,"| Team Alpha |","Alpha"
"1140",2545730,"Pandora xT","P-ES.xT"
"1141",2775251,"SFTe-sports","SFT"
"1142",3326927,"Divine Gaming","DG"
"1143",2539001,"Carrion Swarm Nepheline","CSN"
"1144",1921959,"Three Thousands Pride","3K PRIDE"
"1145",3415078,"Non Thinking Feed Squad","hmm"
"1146",2888097,"Kaze TEAM","Kaze"
"1147",2592576,"Team Bibu","BiBu"
"1148",2891903,"Devastated by Agony","D/A"
"1149",2057132,"XtremeDota`","xD`"
"1150",3212253,"Absolutely Gaspol","AG"
"1151",1932497,"i want to win!","1w2w"
"1152",2290010,".Black Knights","BK"
"1153",1556824,"Cela plus 4","Cela + 4"
"1154",1960848,"FireBee","FB"
"1155",1395362,"Virtually Challenged","vC"
"1156",2787759,"Shot eSports Club","SHOT"
"1157",1927365," s1.Lykos","s1 Lykos"
"1158",2929173,"VG",""
"1159",59,"Kaipi","KP"
"1160",3099734,"ROYAL GAMING","RG"
"1161",3536814,"Larva And Friends","#LARVA"
"1162",3471382,"8FINITY","8"
"1163",3724823,"blossom","blossom"
"1164",3476337,"EHOME.LUMINOUS","EHOME.L"
"1165",2672298,"Infamous (><U+FE4F><)","Infamous"
"1166",3587284,"VALOR ESPORTS","VALOR"
"1167",2873272,"SV_Cheats 1 ","SV_"
"1168",1936852,"BalkanBearsRo","BB.RO"
"1169",3848469,"Insane People",". Insane ."
"1170",2549611,"LINAJE GAMING [1]","Lg"
